100,MZnQ3eZuUAE,241.96
103,aCHFsX2ze4A,256.65
104,qFiqezS4_Fw,112.24
105,_SvDXwheJlM,180.346833
107,HoeRIgYg9s4,52.5525
108,pZFTSmzbBmI,65.3653
110,8BQxktcqJjU,287.920967
113,ipcZj9l2a6o,114.48103300000001
115,tpmDa6rRFbE,261.16
116,9b0OSsywmw8,116.98653300000001
118,BJsd0c6gi5U,173.4733
121,nC3xThn3sBI,25.533333
124,SR9mKYRAOEs,271.0
126,vNs_u_S8pmw,166.9668
128,oX2WY-uO3tM,289.733333
129,byZdbbWenGs,199.732867
130,xAFsxbtvq1Y,120.0
131,zLSKw9KHI5s,129.296
132,0hcPftmvvJ4,166.636133
133,gFMEmquKDls,180.0
134,gTbBA55oVtA,9.929589
137,U_AVbzYkQ3E,262.266667
138,tBhx3g7hXNw,42.3423
139,ksn7GP_hc34,51.72
143,Drw4N5gyE5s,182.64
145,dh2KO-ndeXA,6.009
148,QrSD1SiWE-g,86.76
150,R54HBkWnjA0,108.56
152,f_Id9iuwYCI,86.38095600000001
157,G4_DzPdq4iA,79.496378
158,BhhZx3A5s0U,288.433333
159,_Nrk8qVmpAs,255.296711
160,8nhzwwRYaUI,231.916667
161,_fVXHa8YytE,56.181
162,PzextUt0ULg,258.667
163,lxm6ez2cx6Y,104.084
166,iJBAQhn2hGU,62.328933
170,UOJalWkW7TA,287.233
171,j8aPVezDumU,275.208
173,rUiBsv8qwVE,202.0018
175,A1JlmO5jmmM,146.713233
176,xM8t_Uyp_RQ,72.266
177,xA1GCDtaXiI,180.389
178,O875yPaT4WI,90.0
179,2swgVhbALyg,210.251711
182,xK9fvxGzM1Q,30.0
183,Shoez-jYnXE,199.9
184,OX92q31fFwo,196.196
186,heqIxWBhjSA,40.733333
187,h0YpOFOsmpc,270.6
188,sZdAE3kcfT8,188.666667
192,OYzQqH1AxZE,30.13
194,uIbMfC7h3XE,127.36
196,SfwFqtDrOR4,8.6086
